Capacity,MonthlyPrice,StartDay,EndDay
1,600,7/1/14,
1,400,4/2/14,
1,400,5/1/14,
5,2800,3/1/14,4/30/14
2,1500,5/1/14,6/30/14
4,1700,4/1/14,
3,1300,4/1/14,
15,6500,5/1/14,8/31/14
1,400,5/1/14,
1,400,5/1/14,
3,1400,5/1/14,
18,7200,5/1/14,
1,800,6/1/14,
1,700,5/1/14,6/30/14
2,1250,4/16/14,6/2/14
1,600,11/1/13,5/31/14
8,4000,6/2/14,7/31/14
2,1300,5/1/14,10/31/14
4,2200,5/1/14,
14,11875,6/1/14,
2,1500,5/1/14,8/31/14
2,1500,6/1/12,
3,1850,4/9/14,8/6/14
2,1100,5/1/14,9/30/14
1,625,4/11/14,
1,1000,2/14/14,
1,400,5/1/14,
6,3600,4/2/14,
2,950,2/1/13,5/31/14
4,2500,6/1/13,4/30/14
2,1200,7/1/14,8/31/14
1,950,6/1/14,8/31/14
4,3200,4/1/14,9/30/14
1,400,3/27/14,4/10/14
4,2600,2/1/14,4/8/14
11,5500,5/1/14,
2,1200,5/1/14,7/2/14
1,600,5/1/14,7/31/14
1,800,11/1/13,4/30/14
1,700,5/1/13,
2,900,7/1/14,8/31/14
2,1400,4/2/14,
2,1500,5/1/14,
2,1200,5/1/14,
2,1500,5/1/14,10/31/14
2,900,2/1/14,
1,400,4/14/14,
2,900,1/1/14,6/30/14
2,1000,12/1/13,6/30/14
9,4500,2/6/14,4/30/14
4,2500,8/1/13,
6,2900,5/1/13,5/31/14
1,600,4/9/14,
2,1700,2/14/14,4/30/14
2,900,7/1/14,
1,400,5/1/14,10/31/14
2,0,4/15/14,5/1/14
4,2500,5/1/14,
4,3600,5/1/14,
9,4950,5/1/14,
2,1100,5/12/14,
6,2700,5/1/14,8/31/14
16,350,4/1/14,8/31/14
2,1300,10/1/12,
1,950,6/1/14,6/8/14
3,2000,6/1/14,6/30/14
8,3600,7/8/14,
6,5400,5/12/14,
4,2700,9/1/13,
4,2600,6/1/12,5/31/14
4,2700,7/1/12,4/30/14
1,450,4/2/14,
4,2700,4/1/14,4/30/14
4,2200,6/1/14,10/31/14
